PLAYER,YRS,G,MP,PTS,TRB,AST,FG_PERCENTAGE,TP_PERCENTAGE,FT_PERCENTAGE,MP_PER_GAME,PTS_PER_GAME,TRB_PER_GAME,AST_PER_GAME,WS,WS_FE,BPM,VORP,MVP,ROY,DPOY,SMOY,MIP,ASG,TITLES,FMVP
Blake Griffin,13.0000,765.0000,24384.0000,14513.0000,6109.0000,3055.0000,0.4930,0.3280,0.6960,31.9000,19.0000,8.0000,4.0000,81.1000,160.0000,3.3000,32.8000,0.0000,1.0000,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000
Hasheem Thabeet,5.0000,224.0000,2357.0000,483.0000,595.0000,27.0000,0.5670,0.0000,0.5780,10.5000,2.2000,2.7000,0.1000,4.8000,99.0000,-2.7000,-0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
James Harden,15.0000,1072.0000,37223.0000,25885.0000,6017.0000,7629.0000,0.4410,0.3640,0.8610,34.7000,24.1000,5.6000,7.1000,166.4000,215.0000,6.5000,79.8000,1.0000,0.0000,0.0000,1.0000,0.0000,10.0000,0.0000,0.0000
Tyreke Evans,10.0000,594.0000,18242.0000,9347.0000,2720.0000,2852.0000,0.4400,0.3230,0.7570,30.7000,15.7000,4.6000,4.8000,28.4000,75.0000,0.8000,13.1000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ricky Rubio,12.0000,698.0000,20694.0000,7570.0000,2830.0000,5160.0000,0.3880,0.3240,0.8430,29.6000,10.8000,4.1000,7.4000,42.3000,98.0000,0.5000,13.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Jonny Flynn,3.0000,163.0000,3738.0000,1504.0000,307.0000,634.0000,0.4000,0.3380,0.8090,22.9000,9.2000,1.9000,3.9000,-1.1000,-15.0000,-4.0000,-1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Stephen Curry,15.0000,956.0000,32723.0000,23668.0000,4509.0000,6119.0000,0.4730,0.4260,0.9100,34.2000,24.8000,4.7000,6.4000,135.2000,198.0000,6.5000,70.0000,2.0000,0.0000,0.0000,0.0000,0.0000,9.0000,4.0000,1.0000
Jordan Hill,8.0000,409.0000,7692.0000,3232.0000,2389.0000,322.0000,0.4970,0.1360,0.6990,18.8000,7.9000,5.8000,0.8000,16.4000,102.0000,-2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DeMar DeRozan,15.0000,1110.0000,38460.0000,23582.0000,4910.0000,4527.0000,0.4690,0.2960,0.8410,34.6000,21.2000,4.4000,4.1000,101.4000,127.0000,0.9000,28.1000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000
Brandon Jennings,9.0000,555.0000,16844.0000,7801.0000,1659.0000,3151.0000,0.3870,0.3450,0.7960,30.3000,14.1000,3.0000,5.7000,29.9000,85.0000,0.8000,11.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrence Williams,4.0000,153.0000,2922.0000,1085.0000,545.0000,364.0000,0.4120,0.3170,0.6590,19.1000,7.1000,3.6000,2.4000,-0.2000,-4.0000,-2.8000,-0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gerald Henderson,8.0000,535.0000,13854.0000,5987.0000,1716.0000,1009.0000,0.4400,0.3270,0.7930,25.9000,11.2000,3.2000,1.9000,18.3000,63.0000,-1.8000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
