PLAYER,YRS,G,MP,PTS,TRB,AST,FG_PERCENTAGE,TP_PERCENTAGE,FT_PERCENTAGE,MP_PER_GAME,PTS_PER_GAME,TRB_PER_GAME,AST_PER_GAME,WS,WS_FE,BPM,VORP,MVP,ROY,DPOY,SMOY,MIP,ASG,TITLES,FMVP
Blake Griffin,0.3553,0.3791,0.2758,0.2523,0.4250,0.1702,0.4391,0.3657,0.4092,0.5516,0.4597,0.5750,0.3108,0.3190,0.5484,0.5271,0.2867,0.0000,0.7500,,0.0000,,0.4500,0.0000,0.0000
Hasheem Thabeet,0.1367,0.1110,0.0267,0.0084,0.0414,0.0015,0.5050,0.0000,0.3398,0.1816,0.0532,0.1941,0.0078,0.0229,0.3803,0.2497,0.0124,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
James Harden,0.4100,0.5312,0.4210,0.4500,0.4186,0.4250,0.3928,0.4059,0.5062,0.6000,0.5831,0.4025,0.5517,0.6500,0.7000,0.6750,0.6750,0.5000,0.0000,,0.7750,,0.7500,0.0000,0.0000
Tyreke Evans,0.2733,0.2943,0.2063,0.1625,0.1892,0.1589,0.3919,0.3602,0.4450,0.5308,0.3798,0.3306,0.3730,0.1145,0.3142,0.4115,0.1239,0.0000,0.7500,,0.0000,,0.0000,0.0000,0.0000
Ricky Rubio,0.3280,0.3459,0.2341,0.1316,0.1969,0.2875,0.3456,0.3613,0.4956,0.5118,0.2613,0.2947,0.5750,0.1684,0.3776,0.3976,0.1256,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Jonny Flynn,0.0820,0.0808,0.0423,0.0261,0.0214,0.0353,0.3563,0.3769,0.4756,0.3960,0.2226,0.1366,0.3030,0.0000,0.0661,0.1896,0.0000,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
Stephen Curry,0.4100,0.4737,0.3701,0.4115,0.3137,0.3409,0.4213,0.4750,0.5350,0.5914,0.6000,0.3378,0.4973,0.5289,0.6531,0.6750,0.5940,1.0000,0.0000,,0.0000,,0.6750,0.7250,0.8000
Jordan Hill,0.2187,0.2027,0.0870,0.0562,0.1662,0.0179,0.4427,0.1516,0.4110,0.3251,0.1911,0.4169,0.0622,0.0679,0.3886,0.2820,0.0157,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
DeMar DeRozan,0.4100,0.5500,0.4350,0.4100,0.3416,0.2522,0.4177,0.3300,0.4944,0.5983,0.5129,0.3162,0.3186,0.3978,0.4575,0.4161,0.2479,0.0000,0.0000,,0.0000,,0.4500,0.0000,0.0000
Brandon Jennings,0.2460,0.2750,0.1905,0.1356,0.1154,0.1755,0.3447,0.3847,0.4680,0.5239,0.3411,0.2156,0.4429,0.1203,0.3417,0.4115,0.1132,0.0000,0.0000,,0.0000,,0.0000,0.0000,0.0000
